ano;Cod_Mun;n_fam_rua;pes_rf_ate_meio_sm;pes_insc_cadun;perc_rf_ate_meio_sm;Pes_PBF;Fam_PBF;MapSeq;F_CAD_EP;Fam_Aux;Fam_PBF_Aux;Fam_PBF_2;MapSeq_Aux;PCD_BPC;Ido_BPC;Pop_65_mais;Pop_2020;65_menos_Idoso_BPC
2019;3505807;2;3249;5354;60,7;1039.5833333333333;301.1666666666667;4.0;147.25;;301.1666666666667;;;178.91666666666666;200.5;2427.0;20301.0;2226.5
2020;3505807;7;3678;5361;68,6;1290.75;399.8333333333333;4.0;206.91666666666666;;399.8333333333333;;;178.58333333333334;189.33333333333334;2427.0;20301.0;2237.6666666666665
2018;3505906;141;9338;11918;78,4;5529.916666666667;1769.9166666666667;4.0;1487.4166666666667;;1769.9166666666667;;;493.25;403.6666666666667;7418.0;60222.0;7014.333333333333
2019;3505906;211;10039;13251;75,8;5727.666666666667;1925.0;4.0;1838.5;;1925.0;;;497.25;407.6666666666667;7418.0;60222.0;7010.333333333333
2020;3505906;216;10411;13403;77,7;6147.0;2081.8333333333335;3.25;2060.4166666666665;;2081.8333333333335;;;494.5;416.5833333333333;7418.0;60222.0;7001.416666666667
2018;3506003;323;61551;85764;71,8;32537.25;11905.0;4.0;11572.5;;11905.0;;;3131.0833333333335;3084.8333333333335;42783.0;364225.0;39698.166666666664
2019;3506003;382;58957;85736;68,8;29124.166666666668;10881.833333333334;4.0;10619.25;;10881.833333333334;;;3060.0;3098.75;42783.0;364225.0;39684.25
2020;3506003;362;55847;78910;70,8;29572.916666666668;10795.75;4.0;10245.5;;10795.75;;;2918.25;3171.6666666666665;42783.0;364225.0;39611.333333333336
2018;3506102;23;14254;17647;80,8;8027.833333333333;2489.1666666666665;3.8333333333333335;2019.0833333333333;;2489.1666666666665;;;789.9166666666666;756.25;9551.0;74155.0;8794.75
2019;3506102;42;14200;18244;77,8;7483.833333333333;2362.4166666666665;4.0;2009.5;;2362.4166666666665;;;805.3333333333334;726.8333333333334;9551.0;74155.0;8824.166666666666
2020;3506102;74;14293;18226;78,4;7676.5;2438.0;4.0;2166.6666666666665;;2438.0;;;780.8333333333334;729.8333333333334;9551.0;74155.0;8821.166666666666
2018;3506201;1;766;1000;76,6;411.25;129.58333333333334;3.0;131.08333333333334;;129.58333333333334;;;24.166666666666668;12.0;320.0;2945.0;308.0
2019;3506201;1;737;1000;73,7;407.6666666666667;128.91666666666666;3.0;130.58333333333334;;128.91666666666666;;;21.916666666666668;11.5;320.0;2945.0;308.5
2020;3506201;1;805;1044;77,1;388.5;117.08333333333333;3.0;144.75;;117.08333333333333;;;19.416666666666668;10.416666666666666;320.0;2945.0;309.5833333333333
