ano;cod_ibge;n_fam_rua
2023;3511607;8
2023;3511706;0
2023;3511904;0
2023;3512001;14
2023;3512100;4
2023;3512209;35
2023;3512308;19
2023;3512407;21
2023;3512506;2
2023;3512605;0
2023;3512704;2
2023;3512803;21
2023;3512902;4
2023;3513009;161
2023;3513108;43
2023;3513207;11
2023;3513306;0
2023;3513405;176
2023;3513504;252
2023;3513603;11
2023;3513702;59
2023;3513801;491
2023;3513850;2
2023;3513900;0
2023;3514007;4
2023;3514106;15
2023;3514205;0
2023;3514304;0
2023;3514403;82
2023;3514502;11
2023;3514601;3
2023;3514700;2
2023;3514809;4
2023;3514908;1
2023;3514924;0
2023;3514957;0
2023;3515004;162
2023;3515103;66
2023;3515129;1
2023;3515152;3
2023;3515186;66
2023;3515194;0
2023;3515202;1
2023;3515301;0
2023;3515350;3
2023;3515400;14
2023;3515509;34
2023;3515608;0
2023;3515657;0
2023;3515707;106
2023;3515806;0
2023;3515905;0
2023;3516002;0
2023;3516101;1
2023;3516200;760
2023;3516309;191
2023;3516408;144
2023;3516507;0
2023;3516606;5
2023;3516705;55
2023;3516804;0
2023;3516853;1
2023;3516903;9
2023;3517000;2
2023;3517109;0
2023;3517208;11
2023;3517307;0
2023;3517406;28
2023;3517505;6
2023;3517604;7
2023;3517703;8
2023;3517802;5
2023;3517901;0
2023;3518008;0
2023;3518107;0
2023;3518206;25
2023;3518305;20
2023;3518404;181
2023;3518503;1
2023;3518602;27
2023;3518701;420
2023;3518800;1549
2023;3518859;2
2023;3518909;0
2023;3519006;0
2023;3519055;17
2023;3519071;263
2023;3519105;11
2023;3519204;1
2023;3519253;3
2023;3519303;28
2023;3519402;6
2023;3519501;0
2023;3519600;67
2023;3519709;163
2023;3519808;3
2023;3519907;0
2023;3520004;20
2023;3520103;0
2023;3520202;3
2023;3520301;34
2023;3520400;34
2023;3520426;5
2023;3520442;25
2023;3520509;416
2023;3520608;0
2023;3520707;0
2023;3520806;0
2023;3520905;11
2023;3521002;5
2023;3521101;3
2023;3521150;1
2023;3521200;1
2023;3521309;13
2023;3521408;2
2023;3521507;0
2023;3521606;1
2023;3521705;1
2023;3521804;13
2023;3521903;6
2023;3522000;0
2023;3522109;239
2023;3522158;0
2023;3522208;71
2023;3522307;256
2023;3522406;60
2023;3522505;100
2023;3522604;129
2023;3522653;0
2023;3522703;33
2023;3522802;3
2023;3522901;5
2023;3523008;2
2023;3523107;170
2023;3523206;100
2023;3523305;7
2023;3523404;181
2023;3523503;21
2023;3523602;12
2023;3523701;4
2023;3523800;0
2023;3523909;500
2023;3524006;18
2023;3524105;44
2023;3524204;0
